Azur0n,5,2,Vidiot1169,Round of 16,1,Morgan_Ladimore,onyxapple,WorldBuilder_,Puddinger,5
Preloa,5,0,Pyrious,Round of 16,1,April Tournament 2013,,,,
MurderKitten,5,4,CrazyHakim,Round of 16,1,,,,,
Puddinger,5,2,pacmanfever97,Round of 16,1,,,,,
Ridnell,5,0,GoldKNIGHT027,Round of 16,1,,,,,
Ninja__k,5,0,houston7777,Round of 16,1,,,,,
Parbreaker,5,2,kdogman7,Round of 16,1,,,,,
onyxapple,5,2,danster815,Round of 16,1,,,,,
Morgan_Ladimore,5,2,Manuman,Round of 16,1,,,,,
edmicester,5,3,Basilio_Bazan,Round of 16,1,,,,,
knusper77,5,4,SwingSets,Round of 16,1,,,,,
Jecth,5,1,collectics,Round of 16,1,,,,,
WorldBuilder_,5,1,RickoShea40,Round of 16,1,,,,,
Gepsutin,5,3,Funtre67,Round of 16,1,,,,,
Squatman99,5,4,Mc_kovon,Round of 16,1,,,,,
ForeverFearless,5,2,fdwert1,Round of 16,1,,,,,
Preloa,5,4,Azur0n,Eighth Finals,2,,,,,
Puddinger,5,2,MurderKitten,Eighth Finals,2,,,,,
Ridnell,3,0,Ninja__k,Eighth Finals,2,,,,,
onyxapple,5,2,Parbreaker,Eighth Finals,2,,,,,
Morgan_Ladimore,5,2,edmicester,Eighth Finals,2,,,,,
knusper77,5,0,Jecth,Eighth Finals,2,,,,,
WorldBuilder_,5,2,Gepsutin,Eighth Finals,2,,,,,
ForeverFearless,5,1,Squatman99,Eighth Finals,2,,,,,
Puddinger,5,4,Preloa,Quarter Finals,3,,,,,
onyxapple,5,4,Ridnell,Quarter Finals,3,,,,,
Morgan_Ladimore,5,2,knusper77,Quarter Finals,3,,,,,
WorldBuilder_,5,0,ForeverFearless,Quarter Finals,3,,,,,
onyxapple,5,4,Puddinger,Semifinals,4,,,,,
Morgan_Ladimore,5,3,WorldBuilder_,Semifinals,4,,,,,
Morgan_Ladimore,5,3,onyxapple,Finals,5,,,,,
WorldBuilder_,5,3,Puddinger,Finals,,,,,,
