EatMarkers,5,4,Siegessch,Round 1,1,,,,,4
ExodePendragon,5,2,sheriffCy,Round 1,1,Christmas Cup IV,,,,
Jakubusso,5,2,Migga,Round 1,1,,,,,
SantiPingui58,5,1,Jasco,Round of 16,2,,,,,
__Luva,5,4,garsiide,Round of 16,2,,,,,
Skefull,5,2,ShadowFlames,Round of 16,2,,,,,
Shaxd,5,2,MrPengi,Round of 16,2,,,,,
Wezaz,5,1,EatMarkers,Round of 16,2,,,,,
JoostOriginal,5,4,alkamaass,Round of 16,2,,,,,
Jakubusso,5,1,CCShad,Round of 16,2,,,,,
ExodePendragon,5,3,Ultramegazord,Round of 16,2,,,,,
SantiPingui58,5,1,__Luva,Quarter Finals,3,,,,,
Wezaz,5,0,JoostOriginal,Quarter Finals,3,,,,,
Jakubusso,5,3,ExodePendragon,Quarter Finals,3,,,,,
Wezaz,5,0,Jakubusso,Semifinals,4,,,,,
