MrPengi,5,3,EatMarkers,Round 1,1,SantiPingui58,Wezaz,CCShad,ShadowFlames,5
josher17,5,4,pizzaorpie,Round 1,1,Spooktober Tournament 2019,,,,
Shaxd,5,3,Noveking,Round 1,1,,,,,
Tucoz,5,4,sherrifCy,Round 1,1,,,,,
CCShad,5,0,Jasco,Round 1,1,,,,,
SantiPingui58,5,2,MrPengi,Round of 16,2,,,,,
JoostOriginal,5,2,spleegGOD,Round of 16,2,,,,,
Tucoz,5,1,Jakubusso,Round of 16,2,,,,,
Wezaz,5,1,xYami_,Round of 16,2,,,,,
CCShad,5,3,ExodePendragon,Round of 16,2,,,,,
SantiPingui58,5,0,JoostOriginal,Quarter Finals,3,,,,,
ShadowFlames,5,1,Shaxd,Quarter Finals,3,,,,,
Wezaz,5,1,Tucoz,Quarter Finals,3,,,,,
CCShad,5,1,Siegessch,Quarter Finals,3,,,,,
Wezaz,5,2,CCShad,Semifinals,4,,,,,
CCShad,5,4,ShadowFlames,Finals,5,,,,,
SantiPingui58,5,4,Wezaz,Finals,5,,,,,
